Model,Accuracy,Precision,Recall,F1-Score
LogisticRegression,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
RandomForest,0.9,0.9023569023569024,0.9,0.8997493734335841
SVM,1.0,1.0,1.0,1.0
